species,park,observations
Juncus ensifolius,Great Smoky Mountains National Park,71
Juncus ensifolius,Yosemite National Park,148
Juncus ensifolius,Bryce National Park,107
Juncus ensifolius,Yellowstone National Park,283
Neotoma macrotis streatori,Great Smoky Mountains National Park,77
Neotoma macrotis streatori,Yosemite National Park,123
Neotoma macrotis streatori,Bryce National Park,91
Neotoma macrotis streatori,Yellowstone National Park,268
Polygonum scandens var. cristatum,Great Smoky Mountains National Park,64
Polygonum scandens var. cristatum,Yosemite National Park,157
Polygonum scandens var. cristatum,Bryce National Park,141
Polygonum scandens var. cristatum,Yellowstone National Park,226
Luxilus chrysocephalus,Great Smoky Mountains National Park,55
Luxilus chrysocephalus,Yosemite National Park,116
Luxilus chrysocephalus,Bryce National Park,103
Luxilus chrysocephalus,Yellowstone National Park,237
Rosa eglanteria,Great Smoky Mountains National Park,129
Rosa eglanteria,Yosemite National Park,299
Rosa eglanteria,Bryce National Park,206
Rosa eglanteria,Yellowstone National Park,533
Cyperus refractus,Great Smoky Mountains National Park,66
Cyperus refractus,Yosemite National Park,156
Cyperus refractus,Bryce National Park,93
Cyperus refractus,Yellowstone National Park,222
Penstemon davidsonii var. davidsonii,Great Smoky Mountains National Park,50
Penstemon davidsonii var. davidsonii,Yosemite National Park,147
Penstemon davidsonii var. davidsonii,Bryce National Park,73
Penstemon davidsonii var. davidsonii,Yellowstone National Park,255
Trisetum spicatum,Great Smoky Mountains National Park,54
Trisetum spicatum,Yosemite National Park,162
Trisetum spicatum,Bryce National Park,119
Trisetum spicatum,Yellowstone National Park,235
Panicum philadelphicum,Great Smoky Mountains National Park,84
Panicum philadelphicum,Yosemite National Park,163
Panicum philadelphicum,Bryce National Park,103
Panicum philadelphicum,Yellowstone National Park,256
Torilis nodosa,Great Smoky Mountains National Park,56
Torilis nodosa,Yosemite National Park,170
Torilis nodosa,Bryce National Park,89
Torilis nodosa,Yellowstone National Park,231
Carex haydeniana,Great Smoky Mountains National Park,119
Carex haydeniana,Yosemite National Park,164
Carex haydeniana,Bryce National Park,108
Carex haydeniana,Yellowstone National Park,262
Stellaria corei,Great Smoky Mountains National Park,111
Stellaria corei,Yosemite National Park,200
Stellaria corei,Bryce National Park,117
Stellaria corei,Yellowstone National Park,279
Pipilo maculatus,Great Smoky Mountains National Park,71
Pipilo maculatus,Yosemite National Park,135
Pipilo maculatus,Bryce National Park,115
Pipilo maculatus,Yellowstone National Park,245
Pluvialis squatarola,Great Smoky Mountains National Park,95
Pluvialis squatarola,Yosemite National Park,158
Pluvialis squatarola,Bryce National Park,121
Pluvialis squatarola,Yellowstone National Park,244
Actitis macularia,Great Smoky Mountains National Park,66
Actitis macularia,Yosemite National Park,156
Actitis macularia,Bryce National Park,91
Actitis macularia,Yellowstone National Park,265
Spizella arborea,Great Smoky Mountains National Park,68
Spizella arborea,Yosemite National Park,151
Spizella arborea,Bryce National Park,78
Spizella arborea,Yellowstone National Park,254
Silene oregana,Great Smoky Mountains National Park,69
Silene oregana,Yosemite National Park,145
Silene oregana,Bryce National Park,123
Silene oregana,Yellowstone National Park,224
Salix pseudomonticola,Great Smoky Mountains National Park,58
Salix pseudomonticola,Yosemite National Park,167
Salix pseudomonticola,Bryce National Park,77
Salix pseudomonticola,Yellowstone National Park,204
Geum vernum,Great Smoky Mountains National Park,105
Geum vernum,Yosemite National Park,146
Geum vernum,Bryce National Park,131
Geum vernum,Yellowstone National Park,228
Thalictrum thalictroides,Great Smoky Mountains National Park,61
Thalictrum thalictroides,Yosemite National Park,170
Thalictrum thalictroides,Bryce National Park,72
Thalictrum thalictroides,Yellowstone National Park,225
Mertensia virginica,Great Smoky Mountains National Park,69
Mertensia virginica,Yosemite National Park,171
Mertensia virginica,Bryce National Park,135
Mertensia virginica,Yellowstone National Park,213
Lithophragma affine,Great Smoky Mountains National Park,69
Lithophragma affine,Yosemite National Park,155
Lithophragma affine,Bryce National Park,106
Lithophragma affine,Yellowstone National Park,254
Desmodium laevigatum,Great Smoky Mountains National Park,61
Desmodium laevigatum,Yosemite National Park,142
Desmodium laevigatum,Bryce National Park,113
Desmodium laevigatum,Yellowstone National Park,288
Phoenicaulis cheiranthoides,Great Smoky Mountains National Park,86
Phoenicaulis cheiranthoides,Yosemite National Park,144
Phoenicaulis cheiranthoides,Bryce National Park,71
Phoenicaulis cheiranthoides,Yellowstone National Park,224
Smilax biltmoreana,Great Smoky Mountains National Park,87
Smilax biltmoreana,Yosemite National Park,159
Smilax biltmoreana,Bryce National Park,114
Smilax biltmoreana,Yellowstone National Park,255
Schwetschkeopsis fabronia,Great Smoky Mountains National Park,91
Schwetschkeopsis fabronia,Yosemite National Park,133
Schwetschkeopsis fabronia,Bryce National Park,103
Schwetschkeopsis fabronia,Yellowstone National Park,253
Oxytropis campestris var. cusickii,Great Smoky Mountains National Park,55
Oxytropis campestris var. cusickii,Yosemite National Park,130
Oxytropis campestris var. cusickii,Bryce National Park,70
Oxytropis campestris var. cusickii,Yellowstone National Park,235
Cornus nuttallii,Great Smoky Mountains National Park,48
Cornus nuttallii,Yosemite National Park,145
Cornus nuttallii,Bryce National Park,97
Cornus nuttallii,Yellowstone National Park,281
Ranunculus allegheniensis,Great Smoky Mountains National Park,65
Ranunculus allegheniensis,Yosemite National Park,156
Ranunculus allegheniensis,Bryce National Park,137
Ranunculus allegheniensis,Yellowstone National Park,233
Hieracium caespitosum,Great Smoky Mountains National Park,145
Hieracium caespitosum,Yosemite National Park,296
Hieracium caespitosum,Bryce National Park,219
Hieracium caespitosum,Yellowstone National Park,495
Pelecanus erythrorhynchos,Great Smoky Mountains National Park,93
Pelecanus erythrorhynchos,Yosemite National Park,134
Pelecanus erythrorhynchos,Bryce National Park,96
Pelecanus erythrorhynchos,Yellowstone National Park,246
Rumex conglomeratus,Great Smoky Mountains National Park,48
Rumex conglomeratus,Yosemite National Park,156
Rumex conglomeratus,Bryce National Park,94
Rumex conglomeratus,Yellowstone National Park,246
Rumex acetosella,Great Smoky Mountains National Park,200
Rumex acetosella,Yosemite National Park,323
Rumex acetosella,Bryce National Park,156
Rumex acetosella,Yellowstone National Park,494
Sanicula canadensis,Great Smoky Mountains National Park,43
Sanicula canadensis,Yosemite National Park,144
Sanicula canadensis,Bryce National Park,92
Sanicula canadensis,Yellowstone National Park,232
Mertensia alpina,Great Smoky Mountains National Park,87
Mertensia alpina,Yosemite National Park,106
Mertensia alpina,Bryce National Park,110
Mertensia alpina,Yellowstone National Park,230
Soliva sessilis,Great Smoky Mountains National Park,122
Soliva sessilis,Yosemite National Park,284
Soliva sessilis,Bryce National Park,167
Soliva sessilis,Yellowstone National Park,491
Diodia teres,Great Smoky Mountains National Park,102
Diodia teres,Yosemite National Park,125
Diodia teres,Bryce National Park,88
Diodia teres,Yellowstone National Park,266
Isothecium myosuroides,Great Smoky Mountains National Park,59
Isothecium myosuroides,Yosemite National Park,136
Isothecium myosuroides,Bryce National Park,107
Isothecium myosuroides,Yellowstone National Park,273
Xanthocephalus xanthocephalus,Great Smoky Mountains National Park,83
Xanthocephalus xanthocephalus,Yosemite National Park,134
Xanthocephalus xanthocephalus,Bryce National Park,98
Xanthocephalus xanthocephalus,Yellowstone National Park,255
Rotala ramosior,Great Smoky Mountains National Park,86
Rotala ramosior,Yosemite National Park,282
Rotala ramosior,Bryce National Park,248
Rotala ramosior,Yellowstone National Park,513
Sorex dispar,Great Smoky Mountains National Park,100
Sorex dispar,Yosemite National Park,157
Sorex dispar,Bryce National Park,123
Sorex dispar,Yellowstone National Park,285
Juncus biflorus,Great Smoky Mountains National Park,98
Juncus biflorus,Yosemite National Park,168
Juncus biflorus,Bryce National Park,112
Juncus biflorus,Yellowstone National Park,220
Populus balsamifera,Great Smoky Mountains National Park,59
Populus balsamifera,Yosemite National Park,148
Populus balsamifera,Bryce National Park,89
Populus balsamifera,Yellowstone National Park,246
Moneses uniflora,Great Smoky Mountains National Park,105
Moneses uniflora,Yosemite National Park,161
Moneses uniflora,Bryce National Park,99
Moneses uniflora,Yellowstone National Park,286
Barbilophozia attenuata,Great Smoky Mountains National Park,70
Barbilophozia attenuata,Yosemite National Park,101
Barbilophozia attenuata,Bryce National Park,112
Barbilophozia attenuata,Yellowstone National Park,247
Charina bottae,Great Smoky Mountains National Park,150
Charina bottae,Yosemite National Park,296
Charina bottae,Bryce National Park,191
Charina bottae,Yellowstone National Park,507
Cheilanthes alabamensis,Great Smoky Mountains National Park,50
Cheilanthes alabamensis,Yosemite National Park,147
Cheilanthes alabamensis,Bryce National Park,113
Cheilanthes alabamensis,Yellowstone National Park,276
Crataegus crus-galli,Great Smoky Mountains National Park,50
Crataegus crus-galli,Yosemite National Park,143
Crataegus crus-galli,Bryce National Park,123
Crataegus crus-galli,Yellowstone National Park,248
Oxytropis deflexa var. sericea,Great Smoky Mountains National Park,47
Oxytropis deflexa var. sericea,Yosemite National Park,169
Oxytropis deflexa var. sericea,Bryce National Park,82
Oxytropis deflexa var. sericea,Yellowstone National Park,260
Pholistoma auritum var. auritum,Great Smoky Mountains National Park,98
Pholistoma auritum var. auritum,Yosemite National Park,157
Pholistoma auritum var. auritum,Bryce National Park,112
Pholistoma auritum var. auritum,Yellowstone National Park,287
Bryum pseudotriquetrum,Great Smoky Mountains National Park,84
Bryum pseudotriquetrum,Yosemite National Park,156
Bryum pseudotriquetrum,Bryce National Park,122
Bryum pseudotriquetrum,Yellowstone National Park,279
Carex eburnea,Great Smoky Mountains National Park,70
Carex eburnea,Yosemite National Park,152
Carex eburnea,Bryce National Park,69
Carex eburnea,Yellowstone National Park,251
Thelypodium integrifolium,Great Smoky Mountains National Park,48
Thelypodium integrifolium,Yosemite National Park,153
Thelypodium integrifolium,Bryce National Park,128
Thelypodium integrifolium,Yellowstone National Park,285
Clintonia uniflora,Great Smoky Mountains National Park,73
Clintonia uniflora,Yosemite National Park,140
Clintonia uniflora,Bryce National Park,125
Clintonia uniflora,Yellowstone National Park,227
Leptodontium excelsum,Great Smoky Mountains National Park,43
Leptodontium excelsum,Yosemite National Park,130
Leptodontium excelsum,Bryce National Park,128
Leptodontium excelsum,Yellowstone National Park,237
Astragalus americanus,Great Smoky Mountains National Park,89
Astragalus americanus,Yosemite National Park,174
Astragalus americanus,Bryce National Park,107
Astragalus americanus,Yellowstone National Park,211
Lathyrus venosus var. intonsus,Great Smoky Mountains National Park,34
Lathyrus venosus var. intonsus,Yosemite National Park,165
Lathyrus venosus var. intonsus,Bryce National Park,142
Lathyrus venosus var. intonsus,Yellowstone National Park,243
Streptopus roseus,Great Smoky Mountains National Park,59
Streptopus roseus,Yosemite National Park,166
Streptopus roseus,Bryce National Park,144
Streptopus roseus,Yellowstone National Park,209
Heterocodon rariflorum,Great Smoky Mountains National Park,37
Heterocodon rariflorum,Yosemite National Park,135
Heterocodon rariflorum,Bryce National Park,141
Heterocodon rariflorum,Yellowstone National Park,272
Vinca major,Great Smoky Mountains National Park,144
Vinca major,Yosemite National Park,302
Vinca major,Bryce National Park,206
Vinca major,Yellowstone National Park,503
Ochotona princeps,Great Smoky Mountains National Park,169
Ochotona princeps,Yosemite National Park,328
Ochotona princeps,Bryce National Park,194
Ochotona princeps,Yellowstone National Park,460
Cirsium discolor,Great Smoky Mountains National Park,73
Cirsium discolor,Yosemite National Park,162
Cirsium discolor,Bryce National Park,74
Cirsium discolor,Yellowstone National Park,237
Cardamine angustata,Great Smoky Mountains National Park,52
Cardamine angustata,Yosemite National Park,144
Cardamine angustata,Bryce National Park,93
Cardamine angustata,Yellowstone National Park,244
Convallaria majuscula,Great Smoky Mountains National Park,79
Convallaria majuscula,Yosemite National Park,163
Convallaria majuscula,Bryce National Park,111
Convallaria majuscula,Yellowstone National Park,235
Claytonia parviflora ssp. parviflora,Great Smoky Mountains National Park,123
Claytonia parviflora ssp. parviflora,Yosemite National Park,157
Claytonia parviflora ssp. parviflora,Bryce National Park,124
Claytonia parviflora ssp. parviflora,Yellowstone National Park,250
Arnica fulgens,Great Smoky Mountains National Park,77
